Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,644,19,570.25,570.25,580,568.5,577.5,7.25,1.27
ABANS FINANCE PLC,AFSL.N0000,2553,25,74.2,72.2,74.3,72,73.7,-0.5,-0.67
ACCESS ENGINEERING PLC,AEL.N0000,1182642,343,60.2,61,62,60.3,60.6,0.4,0.66
ACL CABLES PLC,ACL.N0000,142214,232,189,189,190,185,186.75,-2.25,-1.19
ACL PLASTICS PLC,APLA.N0000,6584,88,760,760,770,750,768.5,8.5,1.12
ACME PRINTING & PACKAGING PLC,ACME.N0000,55669,25,5,5.2,5.2,5,5.2,0.2,4
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,63801,78,63.7,63.7,63.7,62.5,62.8,-0.9,-1.41
Agarapatana Plantations PLC,AGPL.N0000,2419370,126,19.7,19.9,19.9,19,19.4,-0.3,-1.52
AGSTAR PLC,AGST.N0000,431854,99,8,8,8.1,7.9,7.9,-0.1,-1.25
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,21763,85,84,84,84.5,83.4,83.9,-0.1,-0.12
AITKEN SPENCE PLC,SPEN.N0000,18696,46,141.25,141.25,142.25,141,141.75,0.5,0.35
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,26099,95,400.25,396,411.5,396,407.5,7.25,1.81
ALPHA FIRE SERVICES PLC,AFS.N0000,455896,184,18.1,18.1,18.4,17.4,18.4,0.3,1.66
ALUMEX PLC,ALUM.N0000,1568822,238,18.5,18.8,18.8,18.2,18.4,-0.1,-0.54
AMANA BANK PLC,ABL.N0000,78859,37,23.9,23.8,24.3,23.8,24.2,0.3,1.26
AMANA TAKAFUL LIFE PLC,ATLL.N0000,32,2,34.5,34,34,34,34.5,0,0
AMANA TAKAFUL PLC,ATL.N0000,6218,16,15.5,15.4,15.9,15.2,15.2,-0.3,-1.94
AMBEON CAPITAL PLC,TAP.N0000,384381,121,27.6,27,27.9,26.5,27.1,-0.5,-1.81
AMBEON HOLDINGS PLC,GREG.N0000,138493,98,94.1,90.6,97.4,90.6,96.3,2.2,2.34
ARPICO INSURANCE PLC,AINS.N0000,60224,39,36.3,36.4,38.8,34.4,36.5,0.2,0.55
ASIA ASSET FINANCE PLC,AAF.N0000,105150,93,50.2,51.5,51.5,49.6,50.4,0.2,0.4
ASIA CAPITAL PLC,ACAP.N0000,83979,34,4.5,4.7,4.7,4.4,4.5,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,826747,78,7.2,7.4,7.4,7,7.1,-0.1,-1.39
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,145383,78,66.8,67,67.7,66.8,67.1,0.3,0.45
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,1080,15,35.4,35.5,35.9,35.2,35.3,-0.1,-0.28
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,12274,19,13.5,13.7,13.9,13.6,13.6,0.1,0.74
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,1378775,698,61.1,60.8,70,60.8,69.1,8,13.09
B P P L HOLDINGS PLC,BPPL.N0000,180890,132,19.6,21,21.5,20.5,20.7,1.1,5.61
BAIRAHA FARMS PLC,BFL.N0000,4186,48,242.75,245,245,240,241.5,-1.25,-0.51
BALANGODA PLANTATIONS PLC,BALA.N0000,20875,59,87.1,88,89,84.1,86.3,-0.8,-0.92
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,32185,54,22.1,22.4,22.4,20,20.6,-1.5,-6.79
BERUWALA RESORTS PLC,BERU.N0000,4421262,292,4.1,4.1,4.3,4,4.2,0.1,2.44
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,95258,124,65.2,66.3,66.3,62.7,63.1,-2.1,-3.22
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,7583,27,80.5,81,81.5,77,79.3,-1.2,-1.49
BROWN & COMPANY PLC,BRWN.N0000,70282,172,189,189,191.25,186.75,187,-2,-1.06
BROWNS BEACH HOTELS PLC,BBH.N0000,598745,224,21,21,24,20.7,23.2,2.2,10.48
BROWNS INVESTMENTS PLC,BIL.N0000,5762561,468,7.9,7.9,8,7.8,7.9,0,0
BUKIT DARAH PLC,BUKI.N0000,64,6,799.25,799,799,777,799.25,0,0
C I C HOLDINGS PLC,CIC.X0000,166446,115,99.6,99.3,100,98,99.6,0,0
C I C HOLDINGS PLC,CIC.N0000,301469,87,134.75,137.5,137.5,134,134.25,-0.5,-0.37
C M HOLDINGS PLC,COLO.N0000,8259,31,375.5,377,385,370,370,-5.5,-1.46
C T HOLDINGS PLC,CTHR.N0000,1533,9,589.75,576.25,600,576.25,589.25,-0.5,-0.08
C T LAND DEVELOPMENT PLC,CTLD.N0000,73359,66,31.9,31.1,33,31.1,32.9,1,3.13
C. W. MACKIE PLC,CWM.N0000,5003,59,122,123,123,122.25,122.5,0.5,0.41
CABLE SOLUTIONS PLC,CSLK.N0000,1048520,232,15.3,15.4,15.8,15.4,15.6,0.3,1.96
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,100,1,15.2,15,15,15,15,-0.2,-1.32
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,641,7,13.6,13.7,13.8,13.4,13.7,0.1,0.74
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,362259,129,17,17,17.2,17,17.1,0.1,0.59
CAPITAL ALLIANCE PLC,CALT.N0000,38594,87,53.5,53.4,53.8,53.3,53.6,0.1,0.19
CARGILLS (CEYLON) PLC,CARG.N0000,19587,22,600,601,601,595,600,0,0
CARGILLS BANK PLC,CBNK.N0000,608086,159,9.3,9.4,9.5,9.2,9.3,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,8977,60,141,141.75,141.75,135,140,-1,-0.71
CARSON CUMBERBATCH PLC,CARS.N0000,3223,22,519,520,525,519.75,525,6,1.16
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,195175,205,310,310,315,310,311,1,0.32
CENTRAL INDUSTRIES PLC,CIND.N0000,11887,49,181.25,180.5,181,179,179.75,-1.5,-0.83
CEYLINCO HOLDINGS PLC,CINS.N0000,371,14,3179.5,3198,3200,3198,3198.75,19.25,0.61
CEYLINCO HOLDINGS PLC,CINS.X0000,13004,37,1580,1580,1700,1580,1600,20,1.27
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,100,17,2736.5,2784,2899,2784,2849.5,113,4.13
CEYLON COLD STORES PLC,CCS.N0000,1473383,209,109.5,110,113,110,112.5,3,2.74
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,16714,58,338.25,336,345,330,343.75,5.5,1.63
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,86746,74,211.75,213,215,212.25,212.25,0.5,0.24
CEYLON HOSPITALS PLC,CHL.X0000,2278,11,132,138.5,138.5,130,130,-2,-1.52
CEYLON HOSPITALS PLC,CHL.N0000,4412,32,170,170,172,160,160,-10,-5.88
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,161190,77,25.7,26,26.9,25.6,26.8,1.1,4.28
CEYLON INVESTMENT PLC,CINV.N0000,233074,168,111.75,114.5,114.5,110.5,112,0.25,0.22
CEYLON LAND & EQUITY PLC,KZOO.N0000,3302980,149,10,10.2,10.3,9.8,10,0,0
CEYLON PRINTERS PLC,CPRT.N0000,26,3,290,289,290,289,290,0,0
CEYLON TEA BROKERS PLC,CTBL.N0000,378410,40,7.3,7.4,7.4,7.2,7.3,0,0
CEYLON TOBACCO COMPANY PLC,CTC.N0000,5514,47,1536.75,1530,1540,1530,1539.5,2.75,0.18
CHEMANEX PLC,CHMX.N0000,16667,19,162.75,167.75,169,164,165,2.25,1.38
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,58359,191,170.25,179.5,179.5,171.25,172.25,2,1.17
CHRISSWORLD PLC,CWL.N0000,40830,22,11,11.1,11.4,10.6,11.1,0.1,0.91
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,13393,49,322,324.5,336.75,320,325.5,3.5,1.09
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,773,12,400,397.25,400,397,399.25,-0.75,-0.19
CITRUS LEISURE PLC,REEF.N0000,390249,88,3.9,4,4.1,3.9,4,0.1,2.56
Co-operative Insurance Company PLC,COOP.N0000,1338565,170,4.6,4.7,4.8,4.5,4.5,-0.1,-2.17
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,40927,99,89.4,86.2,93.3,86.2,92.3,2.9,3.24
COLOMBO DOCKYARD PLC,DOCK.N0000,82295,130,96,96,97.4,96,96.6,0.6,0.63
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,4789,42,270.5,270,282.75,263,280,9.5,3.51
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,762,20,299.75,288.25,310,288.25,300.75,1,0.33
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,32892,33,32,31.8,32.4,31.5,31.7,-0.3,-0.94
