Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,4248,125,909.5,903,934.25,856,906,-3.5,-0.38
ABANS FINANCE PLC,AFSL.N0000,670,11,72.5,72.5,72.8,72,72,-0.5,-0.69
ACCESS ENGINEERING PLC,AEL.N0000,1966046,329,60.5,60.7,61.5,60.1,61.3,0.8,1.32
ACL CABLES PLC,ACL.N0000,587523,112,190.25,190,192,189.5,190,-0.25,-0.13
ACL PLASTICS PLC,APLA.N0000,12008,62,980,990,1003,966.25,999.5,19.5,1.99
ACME PRINTING & PACKAGING PLC,ACME.N0000,5549183,722,6.2,6.3,7.4,6.3,6.8,0.6,9.68
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,27240,40,61.2,61.9,62.2,60.3,61.8,0.6,0.98
Agarapatana Plantations PLC,AGPL.N0000,166670,64,22.5,22.8,22.8,22.5,22.7,0.2,0.89
AGSTAR PLC,AGST.N0000,2037690,155,8.8,8.8,8.9,8.5,8.6,-0.2,-2.27
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,258304,93,87.3,87.5,88.1,87,87.2,-0.1,-0.11
AITKEN SPENCE PLC,SPEN.N0000,31536,42,149.25,149.25,150,148.5,148.5,-0.75,-0.5
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,6656,52,370,375,388,370,379.25,9.25,2.5
ALPHA FIRE SERVICES PLC,AFS.N0000,362015,245,30.1,31,31,28,28.7,-1.4,-4.65
ALUMEX PLC,ALUM.N0000,4288204,552,19,19.2,19.8,19.1,19.3,0.3,1.58
AMANA BANK PLC,ABL.N0000,64243,72,27.6,27.4,27.9,27.4,27.4,-0.2,-0.72
AMANA TAKAFUL LIFE PLC,ATLL.N0000,1852,25,55.3,55.2,56,54,54,-1.3,-2.35
AMANA TAKAFUL PLC,ATL.N0000,114502,37,24.1,24,24.2,23,24,-0.1,-0.41
AMBEON CAPITAL PLC,TAP.N0000,3346206,584,31.9,32,33.2,31.5,32.8,0.9,2.82
AMBEON HOLDINGS PLC,GREG.N0000,793567,243,118.5,119,135,117.25,132.75,14.25,12.03
ARPICO INSURANCE PLC,AINS.N0000,305308,17,39,37.6,39.5,37.6,39.5,0.5,1.28
ASIA ASSET FINANCE PLC,AAF.N0000,337291,119,48.8,49,49,47.1,47.5,-1.3,-2.66
ASIA CAPITAL PLC,ACAP.N0000,241127,108,4.6,4.6,4.9,4.6,4.7,0.1,2.17
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,20573685,1513,8.5,8.5,9.9,8.4,9.6,1.1,12.94
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,171684,36,66,66.3,66.5,65.5,65.5,-0.5,-0.76
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,18141,24,36,36,36.2,35.5,35.5,-0.5,-1.39
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,79846,43,13.5,13.7,13.8,13.3,13.4,-0.1,-0.74
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,288435,289,93.2,95,96,94,95.6,2.4,2.58
B P P L HOLDINGS PLC,BPPL.N0000,44594,24,19,19.1,19.2,19.1,19.2,0.2,1.05
BAIRAHA FARMS PLC,BFL.N0000,16931,88,210,209.25,215,209.25,212.75,2.75,1.31
BALANGODA PLANTATIONS PLC,BALA.N0000,122347,27,93.6,93.9,95.7,93,93.3,-0.3,-0.32
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,5223,5,22.8,23.1,23.1,22,22,-0.8,-3.51
BERUWALA RESORTS PLC,BERU.N0000,2720434,75,4,4,4.2,4,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,50208,160,80.2,80.2,81.9,78.9,79,-1.2,-1.5
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,6355,17,87.3,87,87.4,85.5,85.5,-1.8,-2.06
BROWN & COMPANY PLC,BRWN.N0000,524179,143,180.75,182,183.5,180,182.75,2,1.11
BROWNS BEACH HOTELS PLC,BBH.N0000,121148,51,23.9,23.1,24.5,23,24.3,0.4,1.67
