Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1348,75,1233.25,1230,1290,1196,1200.25,-33,-2.68
ABANS FINANCE PLC,AFSL.N0000,3851,31,68.5,68.5,70,65.5,66.4,-2.1,-3.07
ACCESS ENGINEERING PLC,AEL.N0000,1707483,994,71.3,71.4,73,70.9,71.2,-0.1,-0.14
ACL CABLES PLC,ACL.N0000,287768,362,239.75,238,245,237.5,239,-0.75,-0.31
ACL PLASTICS PLC,APLA.N0000,832,74,1592,1649.5,1649.5,1550,1566,-26,-1.63
ACME PRINTING & PACKAGING PLC,ACME.N0000,39507,47,6.2,6.4,6.4,6,6,-0.2,-3.23
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,59002,159,52.6,52.1,52.1,49,49.8,-2.8,-5.32
Agarapatana Plantations PLC,AGPL.N0000,130670,94,17.9,17.6,18,17.1,17.3,-0.6,-3.35
AGSTAR PLC,AGST.N0000,555857,188,8.6,8.7,8.9,8.4,8.5,-0.1,-1.16
AGSTAR PLC,AGST.X0000,401,4,11.5,12.2,12.2,12.2,12.2,0.7,6.09
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,30967,99,102,103.25,107,102,103.25,1.25,1.23
AITKEN SPENCE PLC,SPEN.N0000,30009,65,150,150,151,147.25,149,-1,-0.67
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,4587,65,369.25,366,368.75,355,359.5,-9.75,-2.64
ALPHA FIRE SERVICES PLC,AFS.N0000,18270,40,24.8,24.8,24.8,21.1,22.4,-2.4,-9.68
ALUMEX PLC,ALUM.N0000,363544,232,19.5,19.4,19.5,18.6,18.9,-0.6,-3.08
AMANA BANK PLC,ABL.N0000,276493,216,28.2,28.5,28.7,27.1,27.4,-0.8,-2.84
AMANA TAKAFUL LIFE PLC,ATLL.N0000,1953,25,40,38,39.9,37.4,37.6,-2.4,-6
AMANA TAKAFUL PLC,ATL.N0000,96962,77,23.5,23.4,25,22.2,23,-0.5,-2.13
AMBEON CAPITAL PLC,TAP.N0000,632212,194,39.8,40,40,37,38.6,-1.2,-3.02
AMBEON HOLDINGS PLC,GREG.N0000,10337,32,154.5,155.25,155.25,150,152.5,-2,-1.29
ARPICO INSURANCE PLC,AINS.N0000,38,6,35.3,38,38,37,35.3,0,0
ASIA ASSET FINANCE PLC,AAF.N0000,45279,70,50.2,51,52,50,50,-0.2,-0.4
ASIA CAPITAL PLC,ACAP.N0000,166115,51,6,5.8,5.9,5.6,5.7,-0.3,-5
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,555392,142,9.6,9.3,9.8,9,9.4,-0.2,-2.08
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,6715,26,54,54,58.8,53.9,55.4,1.4,2.59
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,103914,77,31.2,31.9,31.9,29.4,29.6,-1.6,-5.13
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,25717,27,13.7,13.5,13.9,13.2,13.3,-0.4,-2.92
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,66418,136,71.7,69.2,71.3,65,66.5,-5.2,-7.25
B P P L HOLDINGS PLC,BPPL.N0000,31788,67,19.6,19.6,19.8,18.5,19,-0.6,-3.06
BAIRAHA FARMS PLC,BFL.N0000,67689,166,380,375,394,371.25,375.5,-4.5,-1.18
BALANGODA PLANTATIONS PLC,BALA.N0000,13082,24,70.3,71,73.9,70.1,73.3,3,4.27
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,1641,14,21.9,21,22.1,21,21.1,-0.8,-3.65
BERUWALA RESORTS PLC,BERU.N0000,381448,66,3.8,3.8,3.8,3.6,3.7,-0.1,-2.63
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,133090,261,114.75,114.75,123.5,113.5,120,5.25,4.58
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,3285,32,81.1,81.8,81.8,78.5,79.3,-1.8,-2.22
BROWN & COMPANY PLC,BRWN.N0000,64886,166,158.75,158,158.5,155,158,-0.75,-0.47
BROWNS BEACH HOTELS PLC,BBH.N0000,6214,18,22.2,21.9,22.7,21.5,21.9,-0.3,-1.35
BROWNS INVESTMENTS PLC,BIL.N0000,10216627,686,6.5,6.6,6.7,6.3,6.5,0,0
BUKIT DARAH PLC,BUKI.N0000,1020,28,1029.5,1094,1094,992,1004.75,-24.75,-2.4
C I C HOLDINGS PLC,CIC.N0000,1457331,483,32.6,32.7,33,31.5,31.9,-0.7,-2.15
C I C HOLDINGS PLC,CIC.X0000,1764782,395,25.5,25.6,25.8,24.8,25.1,-0.4,-1.57
C M HOLDINGS PLC,COLO.N0000,47610,52,57.1,57.1,58.5,56.1,56.2,-0.9,-1.58
C T HOLDINGS PLC,CTHR.N0000,1,1,671.5,665,665,665,671.5,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,27655,53,37.7,37,37,33.5,34.1,-3.6,-9.55
C. W. MACKIE PLC,CWM.N0000,19295,168,150.25,150,150.25,141,144,-6.25,-4.16
CABLE SOLUTIONS PLC,CSLK.N0000,57181,58,14.2,14.3,15,14.1,14.1,-0.1,-0.7
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,712,4,15,15,15,14.5,14.9,-0.1,-0.67
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,6,1,14.3,13.9,13.9,13.9,14.3,0,0
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,417789,196,16.1,16.1,16.1,15.6,15.7,-0.4,-2.48
CAPITAL ALLIANCE PLC,CALT.N0000,126447,247,49.5,49.2,49.9,48.7,49.1,-0.4,-0.81
CARGILLS (CEYLON) PLC,CARG.N0000,36021,27,800,798.75,800,790,800,0,0
CARGILLS BANK PLC,CBNK.N0000,1333307,197,10,10.1,10.1,9.7,9.9,-0.1,-1
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,17898,35,156.75,154,165,149,150.25,-6.5,-4.15
CARSON CUMBERBATCH PLC,CARS.N0000,2828,34,759.75,760,760,730,736.75,-23,-3.03
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,94058,133,278,278,284.25,276,276,-2,-0.72
CENTRAL INDUSTRIES PLC,CIND.N0000,249203,183,231.5,234.5,239.5,232.5,234,2.5,1.08
CEYLINCO HOLDINGS PLC,CINS.N0000,144,11,3000,2990,3000,2960,2980,-20,-0.67
CEYLINCO HOLDINGS PLC,CINS.X0000,473,20,1701.5,1700.5,1700.5,1675,1691,-10.5,-0.62
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,10,4,2644.5,2644.5,2644.5,2644.5,2644.5,0,0
CEYLON COLD STORES PLC,CCS.N0000,87712,253,107,106.75,110.25,105,105.25,-1.75,-1.64
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,90048,149,383.75,380,398,380,385,1.25,0.33
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,24899,133,268.5,268.5,270,246.5,257.75,-10.75,-4
CEYLON HOSPITALS PLC,CHL.N0000,14462,25,256.5,256.5,274.75,250,250.5,-6,-2.34
CEYLON HOSPITALS PLC,CHL.X0000,821,10,186.25,209.75,209.75,187,188.25,2,1.07
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,113066,123,36.8,36.7,36.7,35,36.1,-0.7,-1.9
CEYLON INVESTMENT PLC,CINV.N0000,158372,211,118.25,123,123,112,115.25,-3,-2.54
CEYLON LAND & EQUITY PLC,KZOO.N0000,642252,100,11,11.1,11.1,10.2,10.2,-0.8,-7.27
CEYLON TEA BROKERS PLC,CTBL.N0000,240008,118,8.8,8.8,8.9,8.2,8.3,-0.5,-5.68
CEYLON TOBACCO COMPANY PLC,CTC.N0000,3475,91,1691.75,1699,1699,1680,1686.5,-5.25,-0.31
CHEMANEX PLC,CHMX.N0000,2419,19,166,166,172,161,162.75,-3.25,-1.96
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,47243,291,178,178,178,175.75,176.5,-1.5,-0.84
CHRISSWORLD PLC,CWL.N0000,7671,14,13.4,13.6,13.6,12.4,12.9,-0.5,-3.73
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,13653,60,281.75,280.75,290,275,280,-1.75,-0.62
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,1447,14,366.25,387,387,371.5,375.5,9.25,2.53
CITRUS LEISURE PLC,REEF.N0000,679680,57,4.1,4.2,4.3,4.1,4.1,0,0
Co-operative Insurance Company PLC,COOP.N0000,1674904,244,3.9,3.9,3.9,3.7,3.7,-0.2,-5.13
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,2334,22,151.25,155,155,143.25,145,-6.25,-4.13
COLOMBO DOCKYARD PLC,DOCK.N0000,1035829,2547,107.77,81,132,81,124,16.23,15.06
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,6451,60,445,445,469.75,420,432.25,-12.75,-2.87
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,7544,47,477,477,515,460,460.5,-16.5,-3.46
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,72798,73,45.4,44,45.9,42.1,42.8,-2.6,-5.73
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,1246022,1018,198,197.75,200,192.75,194,-4,-2.02
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,118092,366,181.25,181.25,183,176,176.25,-5,-2.76
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,325321,472,115,115.5,119.5,113.25,115,0,0
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,3114,19,260.75,260.25,264.75,251,252,-8.75,-3.36
CONVENIENCE FOODS LANKA PLC,SOY.N0000,43,10,2346.5,2200.5,2348.75,2200.25,2346.5,0,0
DANKOTUWA PORCELAIN PLC,DPL.N0000,119967,155,17.1,17.1,17.3,16.3,16.9,-0.2,-1.17
DFCC BANK PLC,DFCC.N0000,596841,743,149.25,150,150,144,145,-4.25,-2.85
DIALOG AXIATA PLC,DIAL.N0000,787334,235,27.6,27.6,27.8,27.6,27.7,0.1,0.36
DIALOG FINANCE PLC,CALF.N0000,222,10,90,89.9,92,86.2,87,-3,-3.33
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,1047,54,2090,2099.75,2099.75,2010,2049,-41,-1.96
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,169561,206,141,141.5,142.75,140,140.25,-0.75,-0.53
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,22,4,1149.5,1135,1140,1130,1149.5,0,0
DIPPED PRODUCTS PLC,DIPD.N0000,280279,234,60.1,60.1,62,59.3,59.5,-0.6,-1
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,183743,201,58.1,58.1,58.6,56.7,57,-1.1,-1.89
DOLPHIN HOTELS PLC,STAF.N0000,19897,75,55.5,55,58,52.5,53.8,-1.7,-3.06
E - CHANNELLING PLC,ECL.N0000,47386,22,15.6,15.5,15.8,15,15.2,-0.4,-2.56
E B CREASY & COMPANY PLC,EBCR.N0000,202332,52,62,61.6,62.5,61.6,62,0,0
E M L CONSULTANTS PLC,EML.N0000,163787,48,5,5,5,4.6,4.7,-0.3,-6
EAST WEST PROPERTIES PLC,EAST.N0000,179696,92,58,57,59.5,57,58.9,0.9,1.55
EASTERN MERCHANTS PLC,EMER.N0000,95229,43,10.5,10.4,10.4,9.8,9.9,-0.6,-5.71
EDEN HOTEL LANKA PLC,EDEN.N0000,41602,66,13.2,13.2,13.3,13,13,-0.2,-1.52
ELPITIYA PLANTATIONS PLC,ELPL.N0000,8379,44,159.75,162,162,158,159.5,-0.25,-0.16
EQUITY TWO PLC,ETWO.N0000,6624,29,81.9,84,84,72,75.8,-6.1,-7.45
Ex-pack Corrugated Cartons PLC,PACK.N0000,69383,56,13.8,13.7,14.2,13.5,13.5,-0.3,-2.17
EXTERMINATORS PLC,EXT.N0000,946,7,6.9,7.1,7.1,6.9,6.9,0,0
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,360819,486,56.3,56.1,57.9,54.2,54.6,-1.7,-3.02
First Capital Treasuries PLC,FCT.N0000,103078,159,31,31,31,30.2,30.5,-0.5,-1.61
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,38199,35,18.1,18.5,18.5,18,18.2,0.1,0.55
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,75043,102,92.6,90.3,98,88.1,90.1,-2.5,-2.7
GESTETNER OF CEYLON PLC,GEST.N0000,4558,17,226.5,226.25,237.5,225,225.25,-1.25,-0.55
GREENTECH ENERGY PLC,MEL.N0000,274650,79,3.9,4.1,4.2,3.9,3.9,0,0
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,3431,22,54.1,57.2,58.8,54,54.7,0.6,1.11
HARISCHANDRA MILLS PLC,HARI.N0000,100,26,6038,6000,6000,5500,5633.75,-404.25,-6.7
HATTON NATIONAL BANK PLC,HNB.X0000,208920,320,305.5,310,310,302,303.5,-2,-0.65
HATTON NATIONAL BANK PLC,HNB.N0000,704936,618,390,389.75,389.75,384,386.75,-3.25,-0.83
HATTON PLANTATIONS PLC,HPL.N0000,122791,158,25.9,26,26,24.4,25,-0.9,-3.47
HAYCARB PLC,HAYC.N0000,143311,207,103,103.5,103.5,99.5,100.5,-2.5,-2.43
HAYLEYS FABRIC PLC,MGT.N0000,214333,185,39.8,39.7,40,37.5,38.4,-1.4,-3.52
HAYLEYS FIBRE PLC,HEXP.N0000,10422,47,76.9,79,79,72.5,72.5,-4.4,-5.72
HAYLEYS LEISURE PLC,CONN.N0000,124043,69,37.1,37.2,38,36.2,36.4,-0.7,-1.89
HAYLEYS PLC,HAYL.N0000,168986,286,184.5,184.5,187.5,181,181.75,-2.75,-1.49
HELA APPAREL HOLDINGS PLC,HELA.N0000,527594,71,3.1,3.1,3.2,3.1,3.1,0,0
HEMAS HOLDINGS PLC,HHL.N0000,5416770,683,34.9,34.7,34.7,34,34.2,-0.7,-2.01
HIKKADUWA BEACH RESORT PLC,CITH.N0000,2249374,115,3.8,3.7,4,3.7,3.9,0.1,2.63
HNB ASSURANCE PLC,HASU.N0000,16144,67,101,101.5,104.5,99.6,100.5,-0.5,-0.5
HNB FINANCE PLC,HNBF.N0000,544813,196,7.5,7.5,7.8,7.2,7.4,-0.1,-1.33
HNB FINANCE PLC,HNBF.X0000,127357,60,7.4,7.4,7.7,7.2,7.3,-0.1,-1.35
HORANA PLANTATIONS PLC,HOPL.N0000,7414,25,54.1,54.1,55,53.7,54,-0.1,-0.18
HOTEL SIGIRIYA PLC,HSIG.N0000,10549,68,97.6,96.6,97.6,91.8,93.8,-3.8,-3.89
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,71445,147,54.2,54,55.8,52,53,-1.2,-2.21
hSenid Business Solutions PLC,HBS.N0000,942833,155,16.9,16.7,17,16.6,16.7,-0.2,-1.18
HUNAS HOLDINGS PLC,HUNA.N0000,42986,57,22.9,22.9,23,20.2,21.6,-1.3,-5.68
HUNTER & COMPANY PLC,HUNT.N0000,36,10,1233.25,1276,1276,1200,1233.25,0,0
HVA FOODS PLC,HVA.N0000,75353,41,3.4,3.5,3.6,3.3,3.5,0.1,2.94
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,1728838,64,0.4,0.5,0.5,0.4,0.4,0,0
INSUREME INSURANCE BROKERS LIMITED,INME.N0000,376,88,2173.25,2000,2000,1650,1752,-421.25,-19.38
JANASHAKTHI FINANCE PLC,BFN.N0000,1178,9,39.7,39.4,41,38.5,38.5,-1.2,-3.02
JANASHAKTHI INSURANCE PLC,JINS.N0000,152276,343,128.5,127,127,119.25,121.5,-7,-5.45
JAT HOLDINGS PLC,JAT.N0000,259903,307,47.2,47.5,47.9,46,46.4,-0.8,-1.69
JETWING SYMPHONY PLC,JETS.N0000,2014811,239,19.4,19.2,19.4,18.5,18.8,-0.6,-3.09
JF PACKAGING LIMITED,JFP.N0000,623751,213,12.6,13,13.2,12.8,13,0.4,3.17
JOHN KEELLS HOLDINGS PLC,JKH.N0000,11594013,1374,21.5,21.5,21.7,20.8,21,-0.5,-2.33
JOHN KEELLS HOTELS PLC,KHL.N0000,559392,278,21.3,21.1,21.6,20,20.5,-0.8,-3.76
JOHN KEELLS PLC,JKL.N0000,993,19,81,80.2,80.2,79.8,79.9,-1.1,-1.36
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,72828,42,20.5,20.2,21.4,19,20,-0.5,-2.44
KAPRUKA HOLDINGS PLC,KPHL.N0000,63626,20,9.3,9.5,9.5,9,9.4,0.1,1.08
KEELLS FOOD PRODUCTS PLC,KFP.N0000,562,5,170.75,165,170,164,165,-5.75,-3.37
KEGALLE PLANTATIONS PLC,KGAL.N0000,381,10,137.75,137,139,135,135.75,-2,-1.45
KELANI CABLES PLC,KCAB.N0000,4712,70,1193.5,1199.75,1200,1160,1162,-31.5,-2.64
KELANI TYRES PLC,TYRE.N0000,8296,77,89.7,91.8,91.8,89,89.2,-0.5,-0.56
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,37098,48,90.5,91,91,88.2,89,-1.5,-1.66
KERNER HAUS GLOBAL SOLUTIONS PLC,CPRT.N0000,4,4,780.5,670,778.75,670,780.5,0,0
KOTAGALA PLANTATIONS PLC,KOTA.N0000,1442623,210,9.7,9.6,9.6,9.2,9.3,-0.4,-4.12
KOTMALE HOLDINGS PLC,LAMB.N0000,36,6,1485,1538.75,1538.75,1480,1485,0,0
L O L C HOLDINGS PLC,LOLC.N0000,174296,197,548,548,550,539,540.5,-7.5,-1.37
L V L ENERGY FUND PLC,LVEF.N0000,2205850,267,9.9,10,10.2,9.8,10,0.1,1.01
LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,179,13,438,435.25,450,430,431,-7,-1.6
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,624159,120,47,47.7,48.4,46.8,47,0,0
LANKA ASHOK LEYLAND PLC,ASHO.N0000,857,40,3692.5,3691,3800,3610,3634.5,-58,-1.57
LANKA CERAMIC PLC,CERA.N0000,183,6,171.75,171.5,171.5,167.25,168.25,-3.5,-2.04
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,1325148,191,7.3,7.3,7.6,7,7.1,-0.2,-2.74
LANKA IOC PLC,LIOC.N0000,281432,239,129.5,130,130,127,127.25,-2.25,-1.74
LANKA MILK FOODS (CWE) PLC,LMF.N0000,247924,450,64.7,65,67.8,62.6,63.8,-0.9,-1.39
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,266752,119,35.4,35.5,35.5,33.5,34.1,-1.3,-3.67
LANKA TILES PLC,TILE.N0000,93282,172,49.9,50,50,48,48.9,-1,-2
LANKA VENTURES PLC,LVEN.N0000,73024,48,67.6,71.9,71.9,60,63.2,-4.4,-6.51
LANKA WALLTILE PLC,LWL.N0000,57353,136,49.8,49.8,50,48,48.2,-1.6,-3.21
LANKEM CEYLON PLC,LCEY.N0000,27966,47,88.2,90.9,90.9,85,87.8,-0.4,-0.45
LANKEM DEVELOPMENTS PLC,LDEV.N0000,33932,53,22,21.9,22,20.6,21.2,-0.8,-3.64
LAUGFS GAS PLC,LGL.N0000,463503,147,59.9,60.5,63.2,58,58.9,-1,-1.67
LAUGFS GAS PLC,LGL.X0000,14401,39,49,50,56.9,48.3,48.5,-0.5,-1.02
LAUGFS POWER PLC,LPL.X0000,36689,54,10.2,10.9,10.9,9.8,10,-0.2,-1.96
LAUGFS POWER PLC,LPL.N0000,113908,39,13.9,14,14,13.6,13.7,-0.2,-1.44
LAXAPANA PLC,LITE.N0000,15178,41,54,53.2,54,52.1,52.1,-1.9,-3.52
LB FINANCE PLC,LFIN.N0000,169707,297,146.25,148.25,149.75,140.25,145,-1.25,-0.85
LEE HEDGES PLC,SHAW.N0000,5008,9,210,201.25,205,200,200,-10,-4.76
LION BREWERY (CEYLON) PLC,LION.N0000,108,13,1615,1615,1615,1614,1615,0,0
LOLC FINANCE PLC,LOFC.N0000,8305370,530,5.7,5.8,5.9,5.5,5.6,-0.1,-1.75
LOLC GENERAL INSURANCE PLC,LGIL.N0000,183123,77,8.1,8.3,8.3,7.5,7.7,-0.4,-4.94
LOTUS HYDRO POWER PLC,HPFL.N0000,552,9,14,14,14,13.5,13.6,-0.4,-2.86
LUMINEX PLC,LUMX.N0000,352905,72,6.8,6.9,6.9,6.4,6.5,-0.3,-4.41
MADULSIMA PLANTATIONS PLC,MADU.N0000,33518,39,12,11.8,12.1,11.4,11.5,-0.5,-4.17
MAHARAJA FOODS PLC,MFPE.N0000,158280,41,11.8,11.6,11.9,11.4,11.8,0,0
MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,74532,99,48,47,49,41,45.4,-2.6,-5.42
MAHAWELI REACH HOTELS PLC,MRH.N0000,1221,15,19.4,19.3,19.3,19,19,-0.4,-2.06
MALWATTE VALLEY PLANTATION PLC,MAL.N0000,11103,26,62.2,58,62.2,58,61.1,-1.1,-1.77
MALWATTE VALLEY PLANTATION PLC,MAL.X0000,10,3,43,40.6,40.6,40.6,43,0,0
MARAWILA RESORTS PLC,MARA.N0000,164471,66,6.6,6.8,6.8,6.5,6.6,0,0
MASKELIYA PLANTATIONS PLC,MASK.N0000,3587,20,83,81.2,84.9,81.2,81.6,-1.4,-1.69
